TAZ,gqpop2010,military_jobs,ag,cstr,fire,govt,hh1,hh2,hh3,hh4,hh5,hotel,hr,hu,indus,pop,rc,retail,service,tcu,totalemp,totalhh
118,155,0,0,1,2,33,83,41,14,13,5,556,1285,216,3,444,50,573,487,6,1661,156
119,0,0,1,0,3,36,0,0,0,0,0,939,2256,0,27,0,0,560,1408,10,2984,0
120,0,0,0,0,9,15,411,248,85,52,33,449,663,1029,0,1560,416,11,262,10,756,829
121,427,0,0,0,75,6,606,427,113,58,39,270,307,1585,10,2675,340,23,370,17,771,1243
122,0,0,11,175,437,114,115,50,12,5,6,45,0,237,98,301,107,1531,1869,37,4317,188
123,0,0,9,20,154,135,29,18,4,9,0,285,667,73,26,113,16,457,1159,70,2315,60
124,0,0,0,1,1,0,504,315,89,58,42,0,0,1287,1,1872,0,0,7,0,10,1008
125,0,0,1,121,2,3,16,9,7,6,5,0,0,53,4,114,0,203,26,1,361,43
126,0,0,0,7,6,164,191,149,45,35,22,433,443,596,0,889,596,8,138,0,756,442
127,13,0,0,8,8,7,276,199,71,38,23,0,0,743,2,1184,0,18,99,7,149,607
128,0,0,0,7,28,8,272,140,53,41,25,101,0,718,3,1018,241,33,111,1,292,531
129,0,0,1,13,43,0,69,42,20,18,13,0,0,196,7,355,0,79,117,0,260,162
130,0,0,1,20,86,146,786,536,126,70,45,184,313,1987,26,2770,129,307,973,89,1832,1563
131,0,0,0,1,127,41,1074,718,176,114,72,646,296,3094,13,3908,1255,8,504,19,1359,2154
132,0,0,1,4,14,127,374,223,99,65,54,624,1073,1091,2,1678,425,39,720,11,1542,815
133,46,0,5,146,162,156,239,147,59,37,30,1182,2576,688,10,1071,264,2272,2669,33,6635,512
134,17,0,0,0,53,18,1,1,1,2,1,441,1059,6,3,37,0,70,31,1,617,6
135,0,0,11,12,268,95,229,164,56,24,27,568,1342,632,19,988,22,176,1339,71,2559,500
136,0,0,2,0,45,83,50,47,13,17,4,2413,5673,168,42,278,126,867,4256,40,7748,131
137,0,0,2,22,37,20,0,0,0,0,0,0,0,0,3,0,0,791,100,3,978,0
138,9,0,2,29,161,103,0,0,0,0,0,0,0,0,5,9,0,98,177,8,583,0
139,236,0,0,33,21,30,493,416,181,141,92,0,0,1591,12,3190,0,109,209,16,430,1323
140,0,0,0,24,47,41,96,51,19,17,23,0,0,243,6,464,0,140,297,8,563,206
141,0,0,0,13,80,52,142,119,45,30,30,0,0,457,17,803,0,32,192,11,397,366
142,129,0,0,25,120,48,180,61,21,12,10,6,0,319,6,595,14,180,684,23,1092,284
143,4,0,0,21,7,23,433,361,142,89,76,0,0,1319,50,2382,0,15,143,4,263,1101
144,37,0,0,16,9,0,321,246,135,97,86,0,0,1037,2,2136,0,0,15,8,50,885
145,0,0,0,23,6,52,315,239,106,73,33,0,0,933,4,1595,0,6,573,0,664,766
146,71,0,0,23,6,98,372,259,105,84,49,0,0,1126,5,1882,0,3,258,4,397,869
147,0,0,0,11,1,0,289,216,83,45,34,0,0,789,1,1342,0,0,74,2,89,667
148,0,0,0,15,0,9,43,30,15,6,5,0,0,126,6,201,0,0,0,0,30,99
149,0,0,0,8,1,0,33,24,11,13,5,0,0,107,0,198,0,0,4,0,13,86
150,0,0,0,14,131,23,174,123,65,34,39,0,0,552,7,971,0,103,161,2,441,435
151,0,0,0,24,31,86,117,78,34,18,17,0,0,339,3,538,0,99,405,5,653,264
152,7,0,0,16,74,22,9,17,5,6,10,0,0,49,10,161,0,18,324,18,482,47
153,2,0,1,25,41,57,58,33,22,7,12,26,1,156,3,284,60,83,384,2,622,132
154,6,0,0,24,105,36,205,90,41,19,32,0,0,444,18,764,0,34,325,20,562,387
155,0,0,0,13,0,0,139,108,64,44,31,0,0,451,1,899,0,3,41,1,59,386
156,0,0,0,10,2,0,118,109,51,44,32,0,0,419,0,864,0,0,10,0,22,354
157,0,0,0,15,9,0,209,144,77,55,38,0,0,624,1,1159,0,2,9,0,36,523
158,7,0,0,20,174,26,329,240,84,61,44,0,0,854,12,1584,0,80,444,19,775,758
159,13,0,0,13,43,8,164,121,58,40,26,0,0,477,32,907,0,15,221,10,342,409
160,0,0,1,34,76,37,119,47,21,15,11,0,0,244,39,398,0,199,461,24,871,213
161,0,0,0,15,3,4,8,19,17,13,19,0,0,87,0,255,0,7,58,1,88,76
162,0,0,0,13,6,6,10,14,11,7,5,0,0,61,0,129,0,13,52,2,92,47
163,0,0,0,29,87,32,37,25,13,6,4,1,0,108,24,172,1,73,436,31,713,85
164,0,0,1,52,169,91,116,69,33,18,11,7,16,289,14,487,0,211,997,50,1592,247
165,119,0,1,16,20,8,81,52,27,22,23,0,0,234,8,601,0,35,239,3,330,205
166,29,0,0,23,2,23,148,125,65,29,30,0,0,446,0,907,0,0,1911,2,1961,397
167,42,0,0,25,81,37,178,122,36,17,25,0,0,447,14,786,0,39,355,40,591,378
168,0,0,0,38,144,91,158,103,56,37,37,0,0,472,23,888,0,190,2092,55,2633,391
169,5,0,2,30,44,39,144,81,37,29,23,10,0,353,28,668,22,104,377,33,667,314
170,0,0,0,16,8,0,84,51,27,14,11,0,0,219,1,391,0,0,0,0,25,187
171,7,0,0,36,13,12,313,160,56,43,36,0,0,710,3,1176,0,34,80,2,180,608
172,0,0,0,17,23,18,130,52,13,22,16,0,0,261,2,445,0,88,200,9,357,233
173,0,0,0,15,2,0,52,44,13,11,9,0,0,155,0,278,0,15,433,1,466,129
174,0,0,0,17,102,6,146,55,23,12,7,0,0,300,8,411,0,27,172,8,340,243
175,31,0,0,12,0,0,0,0,0,0,0,0,0,0,0,31,0,9,31,0,52,0
190,38,0,1,44,274,113,802,510,214,110,91,1,1,1796,44,3452,0,220,1355,116,2168,1727
191,9,0,0,38,95,243,290,238,78,41,32,0,0,762,13,1360,0,135,878,32,1434,679
192,0,0,1,35,175,63,247,153,62,45,43,0,0,628,32,1155,0,217,486,29,1038,550
193,0,0,7,44,770,297,85,32,24,15,9,1,1,195,135,343,0,325,2963,138,4680,165
194,0,0,1,27,185,71,80,22,12,11,6,0,0,162,7,236,0,260,1081,19,1651,131
195,0,0,0,38,9,6,207,90,31,13,23,0,0,432,1,669,0,0,34,0,88,364
196,34,0,0,34,35,56,290,186,69,70,31,0,0,754,21,1369,0,11,478,14,649,646
197,11,0,4,32,228,234,19,9,3,2,5,1,2,47,31,94,0,151,1429,49,2159,38
221,0,0,3,63,100,657,492,285,107,83,58,0,0,1214,47,2051,0,60,1245,64,2239,1025
222,0,0,0,16,2,38,60,44,17,7,13,0,0,160,0,297,0,2,226,0,284,141
