Table    10.05
 
***** AVG WEEKDAY ROUTE UTILIZATION BY ROUTE ACCESS TYPE************
Comparison of Route Boardings by Scenario by Route-Specific Mode-of-Access
Total Transit Trips
                                                                 Y2019 EXISTING                                    Y2019 NO-BUILD                                    Y2019 BUILD                                      
                                                                 ================================================= ================================================= =================================================
Route_ID                 --Route Name                    Count      WLK       KNR       PNR       XFR       ALL       WLK       KNR       PNR       XFR       ALL       WLK       KNR       PNR       XFR       ALL   
58                       --91-Ewa Beach Express              627      1808        89         0        57      1954      1808        89         0        57      1954      1808        89         0        57      1954
59                       --92-Makakilo City Express          154         0         0         0         1         1         0         0         0         1         1         0         0         0         1         1
6                        --6-Pauoa-Woodlawn                 4547      2885       104         0       709      3699      2885       104         0       709      3699      2885       104         0       709      3699
60                       --93-Waianae Coast Express-CBD      680       879        36         0       171      1086       879        36         0       171      1086       879        36         0       171      1086
62                       --96-Waipio Gentry Express          104         2         0         0         0         2         2         0         0         0         2         2         0         0         0         2
63                       --97-Village Park Express           250        51         0         0         0        51        51         0         0         0        51        51         0         0         0        51
64                       --98-Wahiawa-Mililani Park & R      137         0         0         0         6         6         0         0         0         6         6         0         0         0         6         6
65                       --101-Ewa Gentry Express            392         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
66                       --102-Villages of Kapolei Expr      150        69         0         0         5        74        69         0         0         5        74        69         0         0         5        74
67                       --103-Paiwa-Waikele Express          88         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
69                       --80A-Hawaii Kai Park & Ride E       97       151         4         0         0       155       151         4         0         0       155       151         4         0         0       155
7                        --7-Kalihi Valley                  2172      1767        36         0       231      2034      1767        36         0       231      2034      1767        36         0       231      2034
71                       --84A-Mililani Express-South        217       192         4         0       151       347       192         4         0       151       347       192         4         0       151       347
74                       --88A-North Shore Express           174         4         0         0         0         4         4         0         0         0         4         4         0         0         0         4
76                       --98A-Wahiawa-Mililani Transit      214         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
77                       --W1-Waipahu via Farrington Ex      585         2         0         0         0         2         2         0         0         0         2         2         0         0         0         2
78                       --W2-Waipahu via Paiwa Express      219         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
79                       --W3-Kalihi via School Street       168         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
8                        --8-Waikiki-Ala Moana              3586      1661        24         0        60      1746      1661        24         0        60      1746      1661        24         0        60      1746
80                       --80B-Upper Aina Haina Express       16         3         0         0         0         3         3         0         0         0         3         3         0         0         0         3
81                       --401-Waianae Valley                231       357         5         0        48       409       357         5         0        48       409       357         5         0        48       409
82                       --402-Lualualei Homestead           172       201         1         0        39       241       201         1         0        39       241       201         1         0        39       241
83                       --403-Nanakuli-Maili-Waianae        327       413         4         0        42       460       413         4         0        42       460       413         4         0        42       460
84                       --411-Makakilo Heights              598       614         0         0        19       634       614         0         0        19       634       614         0         0        19       634
86                       --413-Campbell Industrial Park      166       151         0         0       149       300       151         0         0       149       300       151         0         0       149       300
87                       --415-Kapolei Transit Center-K      275        77         2         0        25       104        77         2         0        25       104        77         2         0        25       104
88                       --432-East-West Waipahu            1175       386         8         0        13       407       386         8         0        13       407       386         8         0        13       407
89                       --433-Waipahu-Waikele Shopping     1064       829         3         0       198      1030       829         3         0       198      1030       829         3         0       198      1030
90                       --434-Waipahu-Village Park          997       646         3         0        62       711       646         3         0        62       711       646         3         0        62       711
               Total                                      174654    142014      4270         0     28307    174592    142014      4270         0     28307    174592    142014      4270         0     28307    174592
 

