"Route ID","Route Name","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Table    10.04",,,,,,,,,,
"***** OFF-PEAK TRIPS, MILES AND HOURS BY ROUTE ********",,"***",,,,,,,,
"Comparison of Weekday Operating Statistics by Scenario",,,,,,,,,,
"OFF-PEAK=any trip serving one or more stops between 10:",,"0 am a","d 2:15 pm",,,,,,,
,,"Y2019","XISTING",,"Y2019","O-BUILD",,"Y2019","UILD",
,,"======","============","============","======","============","============","======","============","============"
"Route_ID","Route Name","#Trips","Miles","Hours","#Trips","Miles","Hours","#Trips","Miles","Hours"
"48","80-Hawaii Kai Park & Ride Ex","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"49","81-Waipahu Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"5","5-Ala Moana-Manoa","11","42.89","4.42","11","42.89","4.42","11","42.89","4.42"
"50","82-Hawaii Kai Park & Ride Ex","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"51","83-Wahiawa Town Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"52","84-Mililani Express-North","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"53","85-Windward Express-Kaneohe","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"55","88-Kahaluu-Ahuimanu Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"56","89-Waimanalo-Kailua Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"57","90-Pearl City Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"58","91-Ewa Beach Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"59","92-Makakilo City Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"6","6-Pauoa-Woodlawn","36","256.52","31.77","36","256.52","31.77","36","256.52","31.77"
"60","93-Waianae Coast Express-CBD","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"62","96-Waipio Gentry Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"63","97-Village Park Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"64","98-Wahiawa-Mililani Park & R","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"65","101-Ewa Gentry Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"66","102-Villages of Kapolei Expr","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"67","103-Paiwa-Waikele Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"69","80A-Hawaii Kai Park & Ride E","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"7","7-Kalihi Valley","17","88.02","8.87","17","88.02","8.87","17","88.02","8.87"
"71","84A-Mililani Express-South","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"74","88A-North Shore Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"76","98A-Wahiawa-Mililani Transit","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"77","W1-Waipahu via Farrington Ex","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"78","W2-Waipahu via Paiwa Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"79","W3-Kalihi via School Street","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"8","8-Waikiki-Ala Moana","62","174.83","26.27","62","174.83","26.27","62","174.83","26.27"
"80","80B-Upper Aina Haina Express","0","0.00","0.00","0","0.00","0.00","0","0.00","0.00"
"81","401-Waianae Valley","8","32.13","2.07","8","32.13","2.07","8","32.13","2.07"
"82","402-Lualualei Homestead","8","25.06","1.40","8","25.06","1.40","8","25.06","1.40"
"83","403-Nanakuli-Maili-Waianae","9","64.30","3.68","9","64.30","3.68","9","64.30","3.68"
"84","411-Makakilo Heights","18","65.86","5.40","18","65.86","5.40","18","65.86","5.40"
"86","413-Campbell Industrial Park","17","67.15","4.03","17","67.15","4.03","17","67.15","4.03"
"87","415-Kapolei Transit Center-K","18","44.32","3.30","18","44.32","3.30","18","44.32","3.30"
"88","432-East-West Waipahu","29","68.90","6.95","29","68.90","6.95","29","68.90","6.95"
"89","433-Waipahu-Waikele Shopping","18","95.22","7.55","18","95.22","7.55","18","95.22","7.55"
"90","434-Waipahu-Village Park","13","40.43","3.47","13","40.43","3.47","13","40.43","3.47"
"Total",,"1402","14906.74","1230.70","1402","14906.74","1230.70","1402","14906.74","1230.70"
