TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD
59,3979,105,0,0,1530,316,500,257,210,165,0,0,0,8,10,20,76,353,17,33,517,1448,3,0.5,0,0,100,0,0,0,0,0,73,17,0,0,0,3,5
60,2527,96,0,0,882,172,248,188,107,125,0,0,0,0,0,5,21,83,12,35,156,840,3,0.5,0,0,100,0,0,0,0,0,66,12,0,0,0,3,5
61,569,0,0,0,207,36,51,58,36,19,0,0,0,0,1,2,6,15,0,13,37,200,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5
62,1921,0,0,0,561,86,126,100,86,141,0,26,0,8,0,2,4,21,2,20,83,539,3,0.5,0,0,100,0,0,0,373,3,0,2,0,0,0,3,5
63,1922,4,0,0,594,95,163,104,77,129,0,78,0,4,1,6,4,34,19,26,172,568,3,0.5,0,0,100,0,0,0,240,1,3,19,0,0,0,3,5
64,3678,0,0,0,1471,319,492,286,179,139,0,0,0,0,7,5,33,157,15,20,237,1415,3,0.5,2.392857,0,100,0,0,0,0,0,0,15,0,0,0,0,5
65,3911,2639,0,0,593,177,187,85,42,50,0,35,0,0,0,10,15,75,42,26,203,541,3,0.5,2.497523,1.354089,100,0,0,0,357,1,1823,42,0,0,0,1,25
66,1182,810,0,0,141,37,37,20,20,21,0,432,0,0,1,1,8,1182,106,37,1767,135,3,0.5,2.679537,1.12,100,0,23246,1684,0,3,560,106,0,0,0,1,25
67,2415,83,0,0,898,210,254,162,150,94,0,108,0,0,48,36,145,537,298,32,1204,870,3,0.5,2.392857,0,100,0,0,0,460,1,57,298,0,0,0,1,24
68,3687,0,0,0,1386,258,442,279,194,162,0,0,0,0,1,8,27,200,2,20,258,1335,3,0.5,0,0,100,0,0,0,0,0,0,2,0,0,0,0,24
69,3335,25,0,0,1192,198,396,217,187,159,0,26,0,21,4,11,36,84,38,18,238,1157,3,0.5,0,0,100,0,0,0,584,1,17,38,0,0,0,1,24
70,1049,0,0,0,396,78,113,75,64,46,0,65,0,0,1,0,36,522,46,23,693,376,3,0.5,2.392857,0,100,0,0,0,0,0,0,46,0.52,0.34,0,1,24
71,1013,22,2,0,376,69,119,74,62,38,0,28,1,0,0,3,25,466,1,21,545,362,3,0.5,0,0,100,0,0,0,0,0,15,1,0.52,0.34,0,3,24
72,1178,0,0,0,458,87,154,87,65,49,0,0,0,0,1,7,24,94,0,10,136,442,3,0.5,0,0,100,0,0,0,0,0,0,0,0.52,0.34,0,0,24
