TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,HOTEL,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED,MILI,GOVT,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR
46,1048,0,0,0,426,95,146,77,53,36,0,596.9433823517634,407,3,0.5,0,0,100,0,0,0,535,2,0,0,0,0,0,0,5,0.874251497,0,16.801088990981775,0,0,0,109.78941389051505,439.576467621647,30.776411848619595,0
47,1688,0,0,0,907,379,301,102,72,22,0,1522.4858046670795,876,3,0.5,0,0,100,0,0,0,0,0,0,55,0,0,0,0,5,0.874251497,0,0,0,60.79336487339006,0,278.6962044913074,846.9810855740079,336.01514972837407,0
48,1099,0,0,0,437,106,126,80,56,46,0,76.24808569173844,414,3,0.5,0,0.61,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497,0,0,0,0,0,0,0,51.79162587989596,24.456459811842482
49,1759,0,0,0,673,142,191,139,98,74,0,709.0888740708267,644,3,0.5,0,0.830073,100,0,0,155,0,1,0,87,0,0,0,0,5,0.874251497,0,0,0,60.79336487339006,55.80100485956677,101.34407436047543,155.4412270432166,306.36145115996686,29.347751774210977
50,567,5,0,0,211,45,66,37,25,28,0,595.9780089166902,201,3,0.5,0,0.957361,100,0,0,276,126,2,3,11,0,0,0,3,5,0.874251497,0,21.00136123872722,0,0,0,42.22669765019809,505.0969612275695,3.196528988352975,24.456459811842482
51,202,0,0,0,100,24,23,11,13,9,0,2332.720679333863,80,3,0.5,3,1.046993,100,0,0,255,0,1,0,267,0,0,0,0,5,0.874251497,0,29.401905734218108,54.357500800182216,49.740025805500956,128.13311763683276,177.35213013083202,1050.5859527950784,843.1500464312187,0
52,662,7,0,0,283,84,82,49,26,26,0,765.4077092904483,267,3,0.5,3.931047,1.085503,100,0,0,556,0,1,5,202,0,0,0,3,5,0.874251497,0,0,48.31777848905086,0,81.83377049850831,168.90679060079236,422.5490662930833,43.80030340901352,0
53,985,17,0,0,382,95,105,53,59,42,0,927.7882420399692,354,3,0.5,8.214355,1.078878,100,0,0,1033,0,1,12,186,0,0,0,3,5,0.874251497,0,0,0,60.79336487339006,0,0,588.1000309204319,225.09063466009383,53.80421158605346
54,489,38,0,0,199,50,57,35,19,17,0,935.1383214784769,178,3,0.5,8.147052,1.087298,100,939,0,0,0,2,26,68,0,0,0,1,5,0.874251497,0,0,0,0,0,152.01611154071315,259.007343337106,499.6584067888153,24.456459811842482
55,662,0,0,0,301,96,91,39,28,24,0,660.7998740878666,278,3,0.5,4.203941,1.093249,100,0,0,0,250,1,0,82,0,0,0,0,5,0.874251497,0,0,0,22.106678135778203,111.60200971913353,84.45339530039618,357.9959374959025,84.6418534366561,0
56,1879,0,0,0,680,139,196,135,81,96,0,121.32354038148678,647,3,0.5,3,1.003876,100,0,0,0,0,0,0,7,0,0,0,0,5,0.874251497,0,0,0,11.053339067889102,0,0,110.27020131359768,0,0
57,1031,5,0,0,347,66,95,67,46,62,0,45.32449637117473,336,3,0.5,0,0,100,0,0,0,0,0,3,3,0,0,0,3,5,0.874251497,0,0,0,11.053339067889102,34.271157303285634,0,0,0,0
58,2021,16,0,0,725,159,183,146,86,118,0,361.87426307590295,692,3,0.5,0,0,100,0,0,0,0,0,11,20,0,0,0,1,5,0.874251497,0,42.00272247745444,0,0,0,42.22669765019809,149.0425918522609,30.776411848619595,97.82583924736993
59,3979,105,0,0,1530,316,500,257,210,165,0,1417.5935094391486,1448,3,0.5,0,0,100,0,0,0,0,0,73,17,0,0,0,3,5,0.874251497,20,0,0,0,118.57713532657941,337.8135812015847,783.0881203737308,55.39754132751527,102.71713120973841
60,2527,96,0,0,882,172,248,188,107,125,0,639.4066454994595,840,3,0.5,0,0,100,0,0,0,0,0,66,12,0,0,0,3,5,0.874251497,0,0,36.238333866788146,0,0,0,429.88575420715256,129.2609297642023,44.02162766131647
61,569,0,0,0,207,36,51,58,36,19,0,146.57393179835657,200,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497,45,0,0,0,0,67.56271624031696,19.626835110451225,14.384380447588388,0
62,1921,0,0,0,561,86,126,100,86,141,0,378.5354740853337,539,3,0.5,0,0,100,0,0,0,373,3,0,2,0,0,0,3,5,0.874251497,0,0,0,0,0,109.78941389051505,268.74606019481865,0,0
63,1922,4,0,0,594,95,163,104,77,129,0,355.68917187672594,568,3,0.5,0,0,100,0,0,0,240,1,3,19,0,0,0,3,5,0.874251497,0,0,0,0,4.569487640438084,0,170.34474809376087,117.18814063173649,63.58679551079045
64,3678,0,0,0,1471,319,492,286,179,139,0,1258.815487330914,1415,3,0.5,2.392857,0,100,0,0,0,0,0,0,15,0,0,0,0,5,0.874251497,0,0,0,22.106678135778203,39.983016853833234,0,1088.7432511877853,59.06962152983231,48.912919623684964
65,3911,2639,0,0,593,177,187,85,42,50,0,1434.080125669249,541,3,0.5,2.497523,1.354089,100,0,0,0,357,1,1823,42,0,0,0,1,25,0.308139535,55,42.00272247745444,0,11.090932389876587,69.75125607445847,59.34303824160472,1106.594622081264,70.7323865551166,19.565167849473987
66,1182,810,0,0,141,37,37,20,20,21,0,10252.20745028303,135,3,0.5,2.679537,1.12,100,0,23246,1684,0,3,560,106,0,0,0,1,25,0.308139535,45,331.8215075718901,48.31777848905086,27.727330974691462,0,93.25334580823596,9287.242283137952,311.23678112910267,107.60842317210692
67,2415,83,0,0,898,210,254,162,150,94,0,2004.7835572788583,870,3,0.5,2.392857,0,100,0,0,0,460,1,57,298,0,0,0,1,24,0.79787234,0,130.20843968010877,24.15888924452543,0,109.62994227550055,110.2084995915516,1259.3451835383298,302.7545154756833,68.47808747315895
68,3687,0,0,0,1386,258,442,279,194,162,0,208.26690304810262,1335,3,0.5,0,0,100,0,0,0,0,0,0,2,0,0,0,0,24,0.79787234,0,0,0,11.090932389876587,28.4847758578872,42.38788445828908,122.6314851988988,3.6718251431509645,0
69,3335,25,0,0,1192,198,396,217,187,159,0,431.6264962749383,1157,3,0.5,0,0,100,0,0,0,584,1,17,38,0,0,0,1,24,0.79787234,0,8.400544495490887,0,0,0,42.38788445828908,371.65850446328096,9.17956285787741,0
70,1049,0,0,0,396,78,113,75,64,46,0,248.57193257673705,376,3,0.5,2.392857,0,100,0,0,0,0,0,0,46,0.52,0.34,0,1,24,0.79787234,0,0,0,0,118.57713532657941,33.91030756663126,87.82288311143672,8.26160657208967,0
71,1013,22,2,0,376,69,119,74,62,38,1,166.3943355425564,362,3,0.5,0,0,100,0,0,0,0,0,15,1,0.52,0.34,0,3,24,0.79787234,0,0,0,0,0,0,135.2654683489343,30.12886719362212,0
72,1178,0,0,0,458,87,154,87,65,49,0,376.56358449504467,442,3,0.5,0,0,100,0,0,0,0,0,0,0,0.52,0.34,0,0,24,0.79787234,0,0,0,0,0,0,153.26878670553867,110.79508265503054,112.49971513447542
73,1081,36,0,0,412,103,117,70,49,53,0,462.7760216198888,392,3,0.5,2.679537,1.12,100,0,0,0,0,0,25,0,0.52,0.34,0,1,24,0.79787234,0,0,0,0,0,0,418.75439395857234,0,44.02162766131647
74,1090,157,47,1,390,110,118,70,46,31,20,188.6628432813431,375,3,0.5,8,1.369344,100,0,0,0,0,0,108,37,0.52,0.34,0,1,24,0.79787234,0,0,0,0,22.78782068630976,50.8654613499469,95.00956124508643,0,0
75,611,22,0,0,243,60,82,31,35,23,0,1649.7322609945493,231,3,0.5,4.769919,1.691505,100,0,0,4342,0,1,15,29,0.52,0.34,0,1,24,0.79787234,0,0,0,0,0,59.34303824160472,1435.4078427695445,135.41621213392622,19.565167849473987
76,2688,0,0,0,1317,467,428,181,104,69,0,373.7704948236374,1249,3,0.5,4.429998,1.66722,100,0,0,884,0,1,0,1,0.52,0.34,0,0,24,0.79787234,0,0,0,33.272797169629754,0,0,334.9899599392812,5.507737714726447,0
77,233,0,0,0,86,20,21,16,11,14,0,0,82,3,0.5,5.631464,1.433016,100,0,0,0,0,0,0,0,0.52,0.34,0,0,3,0.646840149,0,0,0,0,0,0,0,0,0
78,306,0,0,0,110,27,24,14,23,16,0,651.6997556329911,104,3,0.5,5.817235,1.323243,100,0,0,0,430,0,0,1,0.52,0.34,0,0,25,0.308139535,0,0,0,0,0,0,644.3561053466892,7.343650286301929,0
79,129,11,0,0,46,11,13,5,4,9,0,130.84497253539075,42,3,0.5,4.257465,1.190001,100,0,0,420,0,2,8,17,0.52,0.34,0,1,25,0.308139535,0,0,0,0,0,0,130.84497253539075,0,0
80,947,7,0,0,346,74,102,66,47,46,0,484.566172019116,335,3,0.5,7.785802,1.049639,100,0,0,0,0,0,5,19,0,0,0,3,5,0.874251497,0,0,0,0,0,67.56271624031696,417.00345577879904,0,0
81,801,5,0,0,274,56,81,51,37,43,0,39.983016853833234,268,3,0.5,4.425717,1.087165,100,0,0,0,0,0,3,0,0,0,0,3,5,0.874251497,0,0,0,0,39.983016853833234,0,0,0,0
82,610,8,0,0,211,53,57,30,30,37,0,33.93894420000319,207,3,0.5,3,1.069786,100,0,0,0,0,0,6,0,0,0,0,3,5,0.874251497,0,0,0,0,0,0,33.93894420000319,0,0
83,1359,3,0,0,513,97,168,96,65,59,0,300.7824816093794,485,3,0.5,11.25,1,100,0,0,0,0,0,2,116,0,0,0,1,5,0.874251497,0,33.60217798196355,0,11.053339067889102,0,16.89067906007924,107.13155862090883,63.626639405379734,68.47808747315895
84,2168,0,0,0,811,201,212,157,97,115,0,231.00805836714343,782,3,0.5,0,0.5,100,0,0,0,0,0,0,31,0,0,0,3,5,0.874251497,0,0,0,33.16001720366731,0,59.117376710277334,93.33209655000877,45.39856790319001,0
85,494,0,0,0,186,41,48,39,23,26,0,0,177,3,0.5,0,0.5,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497,0,0,0,0,0,0,0,0,0
86,1203,0,0,0,421,78,122,86,66,62,0,363.1234299560338,414,3,0.5,3,1.083828,100,0,0,0,368,1,0,0,0,0,0,0,5,0.874251497,0,25.201633486472662,0,0,0,0,328.1392125448242,0,9.782583924736993
87,418,0,0,0,143,22,40,32,22,21,0,88.21962884105685,137,3,0.5,0,1.237688,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497,0,0,0,0,0,0,88.21962884105685,0,0
88,435,0,0,0,166,33,55,31,26,17,0,0,162,3,0.5,0,1.689482,100,0,0,0,0,0,0,4,0,0,0,0,5,0.874251497,0,0,0,0,0,0,0,0,0
