"TAZ","POP","GQ","HR","RC","HU","HH1","HH2","HH3","HH4","HH5","MILI","GOVT","HOTEL","AG","TCU","INDUS","FIRE","SERV","RETAIL","CSTR","TOTALEMP","TOTALHH","TERMTYPE","TERMTIME","WORK_DAILY","NONWRK_HRLY","PERCWLK","PRV_UNIV_ENROLL","PUB_UNIV_ENROLL","PRV_K12_ENROLL","PUB_K12_ENROLL","SCHOOLS","GQWRK","NONVISRET","VISPRCAUTO","VISPRCTOUR","MILI_BASE","GQTYPE","TD","SHRWRKPKGPROVIDED"
66,359,810,0,0,144,36,39,23,19,20,45,3,0,0,0,0,0,7,1,0,11,137,3,1,3,1,100,0,15497,1122,0,2,823,125,0,0,0,1,25,0
67,2400,83,0,0,914,188,263,153,148,127,0,0,0,0,0,0,0,1,0,0,2,879,3,1,2,0,100,0,0,0,306,1,75,352,0,0,0,1,24,1
68,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,8,26,175,2,17,229,1,3,1,0,0,100,0,0,0,1167,0,0,2,0,0,0,0,24,1
69,4,25,0,0,1,0,0,0,1,0,0,59,0,47,11,25,77,192,86,41,538,1,3,1,0,0,100,0,0,0,391,1,8,45,0,0,0,1,24,1
70,1053,0,0,0,402,69,117,74,77,44,0,39,0,0,1,1,22,314,28,14,418,381,3,1,2,0,100,0,0,0,0,0,1,169,1,0,0,1,24,1
71,1030,22,1,0,387,66,124,62,75,46,0,11,0,0,0,1,11,193,0,9,226,373,3,1,0,0,100,0,0,243,0,0,2,278,1,0,0,3,24,1
72,1160,0,0,0,468,83,165,85,63,48,0,0,0,0,4,11,56,181,0,21,273,444,3,1,0,0,100,0,0,0,0,0,8,20,1,0,0,0,24,1
73,1048,36,0,0,421,85,133,76,51,53,0,23,0,0,3,10,35,270,0,25,366,398,3,1,3,1,100,0,0,0,0,0,14,90,1,0,0,1,24,1
74,893,157,0,0,400,121,116,69,57,21,0,8,0,0,8,12,9,150,41,22,250,384,3,1,8,1,100,0,0,0,0,0,57,43,1,0,0,1,24,1
75,598,22,0,0,248,59,82,23,39,30,0,0,0,0,0,0,0,2,0,0,2,233,3,1,5,2,100,0,0,2895,0,1,49,34,1,0,0,1,24,1
76,2,0,0,0,1,0,1,0,0,0,0,8,0,0,1,11,7,332,1,27,386,1,3,1,4,2,100,0,0,590,0,1,4,64,1,0,0,0,24,1
77,234,0,0,0,86,15,25,14,13,15,0,0,0,0,0,0,0,12,0,7,19,82,3,1,6,1,100,0,0,0,0,0,0,0,1,0,0,0,3,1
78,297,0,0,0,112,26,23,17,26,14,0,178,0,0,252,0,0,105,5,131,671,106,3,1,6,1,100,0,0,0,287,0,30,1,1,0,0,0,25,0
79,148,11,0,0,49,7,11,6,4,17,0,14,0,0,2,0,5,120,28,35,205,45,3,1,4,1,100,0,0,280,345,1,27,19,1,0,0,1,25,0
80,867,7,0,0,348,83,112,54,47,42,0,0,0,0,1,3,33,303,27,21,388,338,3,1,8,1,100,0,0,0,0,0,0,22,0,0,0,3,5,1
81,821,8,0,0,300,55,83,64,37,52,0,0,0,0,0,2,4,38,0,11,56,291,3,1,4,1,100,0,0,0,0,0,3,0,0,0,0,3,5,1
82,478,5,0,0,192,59,53,24,24,29,0,0,0,0,0,4,4,32,0,14,53,189,3,1,3,1,100,0,0,112,387,1,7,2,0,0,0,3,5,1
83,1301,3,0,0,517,94,179,74,73,67,0,2,0,0,10,70,62,135,115,17,412,487,3,1,11,1,100,0,0,0,0,0,1,137,0,0,0,1,5,1
84,2051,0,0,0,815,211,209,145,98,119,0,0,0,0,8,12,18,206,31,16,291,782,3,1,0,0,100,0,0,0,0,0,4,36,0,0,0,3,5,1
85,446,0,0,0,188,47,59,40,9,25,0,0,0,0,1,1,2,6,0,9,19,180,3,1,0,0,100,0,0,0,0,0,7,2,0,0,0,0,5,1
86,1209,0,0,0,427,73,113,86,68,76,0,0,0,0,7,2,14,254,0,40,317,416,3,1,3,1,100,0,0,0,243,1,5,2,0,0,0,0,5,1
87,395,0,0,0,146,29,40,29,16,27,0,0,0,0,0,3,9,40,0,26,78,141,3,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,5,1
88,452,0,0,0,167,27,58,29,23,26,0,41,0,0,0,9,2,22,4,22,102,163,3,1,0,2,100,0,911,0,0,0,0,32,0,0,0,0,5,1
89,267,174,0,0,105,23,38,11,15,15,0,1,0,0,0,0,0,0,0,0,1,102,3,1,0,2,100,0,0,0,0,0,79,25,0,0,0,4,5,1
90,1175,0,0,0,459,102,127,85,61,64,0,68,0,0,3,6,25,168,0,25,294,439,3,1,0,1,100,0,0,0,0,0,48,14,0,0,0,0,5,1
91,134,0,0,0,63,22,19,12,7,2,0,62,0,0,0,0,10,12,0,15,99,62,3,1,0,1,100,0,0,0,0,0,0,11,0,0,0,0,5,1
92,422,0,0,0,154,28,42,28,24,26,0,0,0,0,0,0,0,36,0,4,41,148,3,1,0,1,100,0,0,0,261,0,0,1,0,0,0,0,5,1
93,843,0,0,0,349,85,106,70,34,40,0,9,0,0,1,10,1,24,0,10,54,335,3,1,0,1,100,0,4099,0,349,0,0,13,0,0,0,0,5,1
94,714,0,0,0,273,34,95,58,34,36,0,152,0,0,10,13,30,185,0,79,470,257,3,1,0,0,100,0,0,0,695,2,0,0,0,0,0,0,5,1
95,1569,47,0,0,565,96,151,103,88,102,0,58,0,6,12,12,76,205,6,82,456,540,3,1,0,2,100,0,0,143,189,2,21,83,0,0,0,3,5,1
96,602,0,190,30,233,60,60,38,37,32,0,92,0,7,3,31,75,168,147,72,596,227,3,1,0,0,100,0,0,0,0,1,0,47,0,0,0,0,5,1
97,217,0,0,0,124,47,30,7,16,5,0,0,0,0,0,0,1,1,1,0,3,105,3,1,0,0,100,0,0,0,0,0,0,1153,0,0,0,0,5,1
98,364,0,0,0,126,12,42,19,24,23,0,0,0,0,0,3,3,70,0,24,100,120,3,1,0,0,100,0,0,0,0,0,2,24,0,0,0,0,5,1
99,635,15,0,0,250,33,73,51,37,31,0,0,0,3,3,27,21,472,17,62,606,225,3,1,0,0,100,0,0,7,295,1,2,95,0,0,0,3,5,1
100,1035,0,0,0,412,51,120,89,73,37,0,0,0,0,19,7,45,82,0,19,172,370,3,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,1
101,928,0,0,0,391,47,136,66,54,39,0,0,0,0,20,5,81,157,13,51,326,342,3,1,0,0,100,0,0,0,0,0,0,87,0,0,0,0,5,1
102,1233,0,0,0,566,116,198,81,62,46,85,1,0,0,0,0,0,1,0,0,2,503,3,1,0,0,100,0,0,44,909,2,3,162,1,0,0,0,5,1
103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,2,100,0,5689,0,0,0,0,22,1,0,0,0,5,1
104,9,0,0,0,5,1,2,0,1,0,0,11,0,0,0,0,4,10,3,40,212,4,3,1,0,2,100,0,0,0,0,0,0,81,1,0,1,0,5,1
105,1181,0,29,21,932,313,263,56,21,18,0,80,22,0,1,1,24,120,1,15,263,671,3,1,0,0,100,0,0,547,0,0,4,136,1,0,0,0,4,0
106,0,54,67,0,1,0,0,0,0,0,0,16,26,2,2,0,7,142,52,7,254,0,3,1,0,1,100,0,0,0,258,0,241,32,1,0,0,3,4,0
107,1407,65,0,0,775,274,291,75,49,26,0,39,0,2,0,3,4,116,52,11,227,715,3,1,0,1,100,0,0,180,295,2,0,133,1,0,0,3,5,1
108,1746,8,0,0,624,104,167,128,86,116,0,0,0,0,24,11,35,116,75,29,289,601,3,1,0,0,100,0,0,0,0,0,1,48,0,0,0,3,5,1
109,1917,20,0,0,804,187,216,136,110,90,0,0,0,0,0,0,0,1,0,0,1,739,3,1,0,1,100,0,0,9,815,1,167,149,0,0,0,3,5,1
110,22,0,0,0,8,2,2,1,2,1,0,53,0,3,0,0,0,180,28,40,303,8,3,1,0,1,100,0,0,0,0,0,6,73,0,0,0,0,4,0
111,339,0,0,0,228,72,78,23,8,2,0,0,0,0,0,0,0,23,141,149,313,183,3,1,0,1,100,0,0,0,261,1,0,0,1,0,0,0,4,0
112,507,0,509,48,343,97,129,24,10,8,0,19,364,0,1,0,0,153,0,0,536,268,3,1,0,2,100,0,0,0,651,0,255,0,1,0,0,0,4,0
113,174,0,1449,0,157,71,15,10,7,3,0,0,1,0,0,0,0,1,0,0,2,106,2,3,3,2,100,0,0,0,0,0,0,6,0,0,0,0,4,0
114,1183,31,0,586,1,334,237,71,23,14,0,27,333,0,3,10,47,343,1,4,767,679,3,1,2,2,100,0,0,0,0,0,1,2,0,0,0,3,4,0
115,1,0,413,5,2,1,0,0,0,0,0,7,258,0,4,4,19,212,0,0,504,1,2,3,3,2,100,0,0,78,373,1,0,15,1,0,0,0,4,0
116,908,0,55,72,727,217,202,46,21,13,0,14,95,0,5,13,2,49,117,15,311,499,2,3,3,2,100,0,0,125,1713,3,2,4,1,0,0,0,4,0
117,759,35,873,99,689,285,132,38,19,4,0,0,1,0,0,0,0,1,0,0,2,478,2,3,3,2,100,0,0,0,0,0,7,0,0,1,0,3,4,0
118,155,155,887,145,217,68,20,11,1,2,0,0,1,0,0,0,0,1,1,0,3,102,2,3,3,2,100,0,0,121,306,1,4,13,0,0,0,1,4,0
119,0,0,1801,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,2,3,3,1,100,0,0,0,0,0,2,78,0,1,0,0,4,0
120,1440,0,481,143,1,381,280,71,44,22,0,2,393,0,18,3,13,277,20,0,726,798,2,3,3,2,100,0,0,0,0,0,672,21,0,0,0,0,4,0
121,569,427,205,307,2,167,119,34,8,6,0,2,85,0,7,3,25,138,10,0,270,334,2,3,4,1,100,0,0,0,0,0,5,0,1,0,0,1,4,0
122,177,0,0,71,232,69,37,3,5,1,10,0,0,0,0,0,1,2,2,0,5,115,2,3,3,1,100,0,0,0,0,0,0,12,1,1,0,0,4,0
123,55,0,445,0,73,20,12,2,0,1,0,0,0,0,0,0,0,1,0,0,2,35,2,3,4,1,100,0,0,0,0,0,0,9,0,0,0,0,4,0
124,1690,0,77,0,1,426,319,95,44,33,0,0,93,0,0,2,4,169,0,6,274,917,2,3,4,2,100,0,0,0,0,0,2,323,1,0,0,0,4,0
125,92,0,0,79,75,25,13,3,3,4,0,0,24,1,0,1,0,82,234,70,413,48,2,3,4,2,100,0,0,0,0,0,6,10,1,0,0,0,4,0
126,666,0,265,397,487,153,120,32,28,13,0,22,454,0,1,0,5,80,0,9,571,346,2,3,4,1,100,0,0,0,0,0,0,16,1,0,0,0,4,0
127,1124,13,0,147,753,309,192,58,38,21,0,0,174,2,8,0,13,233,49,23,501,618,2,3,4,2,100,0,0,0,0,0,7,48,1,0,0,3,4,0
128,921,0,0,161,731,310,136,53,30,12,0,0,146,0,0,6,45,181,56,12,446,541,2,3,3,3,100,0,0,0,0,0,0,24,1,0,0,0,4,0
129,288,0,0,0,196,34,68,18,6,8,0,0,0,1,0,7,49,137,93,17,303,134,2,3,2,2,100,0,0,0,347,0,0,10,1,0,0,0,4,0
130,2,0,209,56,2,2,0,0,0,0,35,0,0,0,0,0,0,1,1,0,3,2,2,3,2,3,100,0,0,0,0,0,0,34,1,0,0,0,4,0
131,3,0,310,0,3,1,1,0,0,0,0,0,69,0,5,4,50,132,2,0,261,2,2,3,2,4,100,0,0,0,0,0,6,51,1,0,0,0,4,0
132,510,0,597,100,1,145,90,24,17,9,0,0,1,0,0,0,0,1,0,0,2,285,2,3,2,6,100,0,0,0,0,0,27,129,0,0,0,3,4,0
133,369,46,1697,178,712,96,50,14,14,15,20,0,1,0,0,0,0,2,2,0,6,189,2,3,3,6,100,0,0,0,0,0,0,34,0,0,0,3,4,0
134,9,17,706,0,6,2,0,1,1,0,25,5,181,0,0,1,24,12,31,0,255,4,2,3,4,2,100,0,0,0,0,0,13,1,0,0,0,3,4,0
