RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8,8,1,0.714665323,0.035916959,0.034884885,0.08064804,0.05857721,0.075307584,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,2,0.579256552,0.042891411,0.205105796,0,0.172746241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,3,0.589426188,0,0,0.410573812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,1,0.462033476,0.122934708,0.132675277,0.13898614,0.100605035,0,0.030006875,0,0.012758489,0,0,0,0,0,0,0,0,0,0
9,9,2,0.815332156,0,0.034737643,0.126214062,0,0,0,0.02371614,0,0,0,0,0,0,0,0,0,0,0
9,9,3,0.87157407,0,0,0,0.12842593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,4,0.542957279,0,0.457042721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1,0.640469233,0.053791796,0.08054598,0.079101633,0.060524432,0.014798729,0.064229973,0.006538224,0,0,0,0,0,0,0,0,0,0,0
10,10,2,0.804135538,0.018185437,0.081545931,0.036364367,0,0.059768726,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,4,0.542928238,0.049132307,0.089472607,0.07506722,0.09858127,0.029552202,0.104616797,0.010649359,0,0,0,0,0,0,0,0,0,0,0
11,11,1,0.553891316,0.200879985,0.011701315,0.027824252,0.060723199,0.083436168,0.059738649,0,0.001805117,0,0,0,0,0,0,0,0,0,0
11,11,2,0.816386588,0.050363684,0.042155868,0.040105658,0.015785982,0.03520222,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,3,0.919900783,0,0.064987133,0,0,0.015112084,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,4,0.811332939,0,0,0,0.188667061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,1,0.613867671,0.026359433,0.171485051,0.068690063,0.03482631,0.009488684,0.028041279,0.018451526,0,0,0.028789984,0,0,0,0,0,0,0,0
12,12,2,0.690133678,0.050770453,0.118266103,0.023555165,0,0,0.045804958,0.022902479,0.048567164,0,0,0,0,0,0,0,0,0,0
12,12,3,0.687519588,0,0.122048185,0.129408135,0,0,0.061024092,0,0,0,0,0,0,0,0,0,0,0,0
12,12,4,0.390578674,0.414131989,0,0,0.195289337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,1,0.429017774,0.150868291,0.032209856,0,0.051210839,0.145937726,0,0.167319776,0,0,0,0.023435738,0,0,0,0,0,0,0
13,13,2,0.404458406,0.105321896,0.083678557,0.207748722,0,0,0,0.198792419,0,0,0,0,0,0,0,0,0,0,0
13,13,3,0.540920961,0,0.125277973,0,0.333801066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,1,0.604470233,0,0.040658633,0.047034296,0.148215089,0.073629267,0,0.0210108,0,0.044456689,0.020524992,0,0,0,0,0,0,0,0
14,14,2,0.61108196,0.175905583,0.056788431,0.043826193,0,0.058147007,0,0.031304428,0.022946398,0,0,0,0,0,0,0,0,0,0
14,14,3,0.710998663,0,0.149509669,0.080491068,0,0.0590006,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,4,0.721485482,0,0.278514518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,1,0.175604613,0.04402583,0,0.32103769,0.110638727,0.023075613,0.032473594,0.080974534,0.11010747,0.083381742,0.018680186,0,0,0,0,0,0,0,0
15,15,2,0.604732073,0.16696961,0.027990954,0,0.039390801,0,0.138257307,0,0.022659256,0,0,0,0,0,0,0,0,0,0
15,15,3,0.429270556,0.156982866,0,0.111067966,0,0.302678612,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,1,0.281397671,0.010945478,0.082119996,0.146042417,0.0104391,0,0,0.120019264,0.019884082,0.170742685,0.086091669,0.008008961,0.018218998,0.046089679,0,0,0,0,0
16,16,2,0.362897657,0.063997183,0,0.061249353,0.254624704,0.058114825,0.011359871,0.096541288,0,0.025841739,0,0,0.065373379,0,0,0,0,0,0
16,16,3,0.346350927,0.039131566,0.09121741,0.380128252,0.040561363,0,0,0,0.102610482,0,0,0,0,0,0,0,0,0,0
16,16,4,0.780965275,0,0,0.062053729,0,0,0,0.156980995,0,0,0,0,0,0,0,0,0,0,0
17,17,1,0.388528943,0,0.113369511,0,0,0.127908789,0.06647764,0.136724276,0,0.062815001,0,0,0,0.104175841,0,0,0,0,0
17,17,2,0.459019505,0,0,0.209182082,0.058701526,0,0,0,0.102727676,0,0,0,0.17036921,0,0,0,0,0,0
17,17,3,0.386672133,0,0.108509506,0,0,0,0.189891645,0,0,0.314926715,0,0,0,0,0,0,0,0,0
17,17,4,0.17691925,0,0,0,0,0.309608703,0.513472047,0,0,0,0,0,0,0,0,0,0,0,0
18,18,1,0.14973803,0.070921635,0.07977522,0,0,0.139074728,0,0.060173664,0.153142293,0.120219724,0.02434203,0.189180629,0,0,0,0,0.013432048,0,0
18,18,2,0.411573443,0,0,0.141391392,0.187853511,0,0.125584487,0,0,0.028628859,0.089170768,0,0,0,0.015797541,0,0,0,0
18,18,3,0.467736161,0.02684709,0.226580706,0,0.07864177,0,0.04865324,0,0.151541032,0,0,0,0,0,0,0,0,0,0
18,18,4,0.448304704,0,0.155597872,0.096263609,0,0,0.299833815,0,0,0,0,0,0,0,0,0,0,0,0
