RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,
7,7,2,0.323109105,0.510938303,0.091927213,0.035373235,0.038652144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,7,3,0.560810461,0.265148231,0.104312713,0.069728596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,7,4,0,0.556511175,0.443488825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,8,1,0.184174134,0.477480447,0.155060632,0.102564278,0.028167603,0.034963853,0,0.009160627,0.008428426,0,0,0,0,0,0,0,0,0,0,,
8,8,2,0.278358141,0.463253047,0.182352628,0.017822679,0.044209524,0,0.01400398,0,0,0,0,0,0,0,0,0,0,0,0,,
8,8,3,0.84143699,0.029550749,0.072072072,0,0.05694019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,8,4,0,0.251850743,0.30679439,0.441354867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,9,1,0.207705885,0.540572875,0.046987504,0.022882077,0.065451768,0.046875666,0.054099504,0,0.015424721,0,0,0,0,0,0,0,0,0,0,,
9,9,2,0.327706153,0.213225401,0.05300378,0.035901097,0.337152658,0.033010911,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,9,3,0.14445269,0.12427366,0.549977379,0.065214439,0.116081832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,9,4,0.298201999,0.478569608,0.142930468,0.080297925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,10,1,0.513003001,0.283196234,0.078864997,0.038306612,0.038758427,0.034131229,0,0.0137395,0,0,0,0,0,0,0,0,0,0,0,,
10,10,2,0.450379814,0.261643793,0.142625254,0.080716736,0.064634404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,10,3,0.425134877,0.574865123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,10,4,0.444677655,0.555322345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,11,1,0.263973454,0.330568452,0.082260458,0.125604289,0.027862771,0.140959586,0.028770989,0,0,0,0,0,0,0,0,0,0,0,0,,
11,11,2,0.26019538,0.284434273,0.079190477,0,0.067053466,0.264402493,0.044723911,0,0,0,0,0,0,0,0,0,0,0,0,,
11,11,3,0.292979238,0,0.126025331,0,0.580995431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,11,4,0.124052044,0.750944336,0.125003621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12,12,1,0.325754622,0.257692678,0.102723273,0.069681943,0.064724596,0,0.012675037,0.159060213,0.007687639,0,0,0,0,0,0,0,0,0,0,,
12,12,2,0.6651753,0.085831885,0.085957493,0.013714243,0.014387804,0.111202978,0.005347147,0.01838315,0,0,0,0,0,0,0,0,0,0,0,,
12,12,3,0.34931563,0,0.071504339,0,0.363126347,0.120206249,0.095847435,0,0,0,0,0,0,0,0,0,0,0,0,,
12,12,4,0.109890974,0,0,0.705370843,0.14189198,0.042846204,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13,13,1,0.223575114,0.573311081,0.077379322,0.011452307,0.043512133,0.025456642,0.025404524,0.019908877,0,0,0,0,0,0,0,0,0,0,0,,
13,13,2,0.017007889,0.770781108,0,0.104615501,0,0.045880577,0.061714925,0,0,0,0,0,0,0,0,0,0,0,0,,
13,13,3,0.413451978,0.084978934,0.177115056,0.138352792,0,0,0.186101241,0,0,0,0,0,0,0,0,0,0,0,0,,
13,13,4,0,0.353121952,0,0.27583995,0.371038098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,14,1,0.347702968,0.322931368,0.108470589,0.052026782,0.058170382,0,0.058207818,0.035627466,0,0.009049945,0,0,0,0.007812681,0,0,0,0,0,,
14,14,2,0.132085143,0.376198955,0.23582619,0.093299647,0,0.131741868,0,0,0,0.030848197,0,0,0,0,0,0,0,0,0,,
14,14,3,0.106234024,0.526035893,0.13782952,0,0,0.16612578,0,0,0.063774782,0,0,0,0,0,0,0,0,0,0,,
14,14,4,0.231125012,0.288183306,0,0,0.347347044,0,0,0.133344639,0,0,0,0,0,0,0,0,0,0,0,,
