Purpose,EntryPeriod,ReturnPeriod,Percent
1,15,27,0.001676577
1,15,28,0.000486717
1,15,29,8.02E-05
1,15,30,0.000177324
1,15,31,0.000550204
1,15,32,0.002159467
1,15,33,0.00083332
1,15,34,0.000381182
1,15,35,0.001080979
1,15,36,0.000855093
1,15,37,0.000666522
1,15,38,0.000678796
1,15,39,0.000338034
1,15,40,0
1,15,41,0
1,15,42,0
1,15,43,0.000263127
1,15,44,0
1,15,45,0.00078456
1,15,46,0
1,15,47,0
1,15,48,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
1,16,17,0.000663081
1,16,18,0
1,16,19,0.000647
1,16,20,0.000760529
1,16,21,0
1,16,22,0
1,16,23,0.000761192
1,16,24,0.000499674
1,16,25,9.01E-05
1,16,26,0.000528451
1,16,27,0.001241474
1,16,28,0.000608039
1,16,29,0.000361883
1,16,30,0.000223054
1,16,31,0.000347837
1,16,32,0
1,16,33,0.000324443
1,16,34,0
1,16,35,0.001701882
1,16,36,0.000698459
1,16,37,0.001761726
1,16,38,0.000191262
1,16,39,7.08E-05
1,16,40,0
1,16,41,0
1,16,42,0
1,16,43,0
1,16,44,0
1,16,45,0
1,16,46,0
1,16,47,0
1,16,48,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0
1,17,10,0
1,17,11,0
1,17,12,0
1,17,13,0
1,17,14,0
1,17,15,0
1,17,16,0
1,17,17,0
1,17,18,0
1,17,19,0
1,17,20,0
1,17,21,0
1,17,22,9.66E-05
1,17,23,0.000576112
1,17,24,0.00041527
1,17,25,0.00030596
1,17,26,0.000388311
1,17,27,0
1,17,28,0.000245414
1,17,29,0.003457797
1,17,30,0.000317178
1,17,31,0.00056493
1,17,32,0.000232044
1,17,33,0
1,17,34,0.000114017
1,17,35,0.000283532
1,17,36,0.000433194
1,17,37,0
1,17,38,0.00143418
1,17,39,0
1,17,40,0.000374272
1,17,41,0.000100922
1,17,42,0
1,17,43,0.000471784
1,17,44,0
1,17,45,0
1,17,46,0
1,17,47,0
1,17,48,0
1,18,1,0
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
1,18,10,0
1,18,11,0
1,18,12,0
1,18,13,0
1,18,14,0
1,18,15,0
1,18,16,0
1,18,17,0
1,18,18,0
1,18,19,0
1,18,20,0.000404232
1,18,21,7.63E-05
1,18,22,0.00029574
1,18,23,0.001063781
1,18,24,0.000249826
1,18,25,0
1,18,26,7.37E-05
1,18,27,0.000200131
1,18,28,0.001042494
1,18,29,0.000359032
1,18,30,0.000237815
1,18,31,0.000237698
1,18,32,0.000744758
1,18,33,0
1,18,34,0.000496865
1,18,35,0.000534329
1,18,36,0
1,18,37,0.000419004
1,18,38,0.000152731
1,18,39,0
1,18,40,0.000346729
1,18,41,0.000814672
1,18,42,0.000168482
1,18,43,0
1,18,44,0
1,18,45,0
1,18,46,0
1,18,47,0
1,18,48,0
1,19,1,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0
1,19,10,0
1,19,11,0
1,19,12,0
1,19,13,0
1,19,14,0
1,19,15,0
1,19,16,0
1,19,17,0
1,19,18,0
1,19,19,0
1,19,20,0
1,19,21,0.000186403
1,19,22,0.000478001
1,19,23,6.26E-05
1,19,24,0.000654461
1,19,25,0.000696097
1,19,26,0
1,19,27,0.000192016
1,19,28,0.000707145
1,19,29,0
1,19,30,0.000441248
1,19,31,0.000273766
1,19,32,0.005076248
1,19,33,0
1,19,34,0
1,19,35,0
1,19,36,0.000606487
1,19,37,0
1,19,38,0.000939933
1,19,39,0.000990111
1,19,40,0
1,19,41,0
1,19,42,0
1,19,43,0.00019154
1,19,44,0
1,19,45,0
1,19,46,0
1,19,47,0
1,19,48,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0
1,20,11,0
1,20,12,0
1,20,13,0
1,20,14,0
1,20,15,0
1,20,16,0
1,20,17,0
1,20,18,0
1,20,19,0
1,20,20,0
1,20,21,0
1,20,22,0
1,20,23,0.000342172
1,20,24,0.000690513
1,20,25,0.000251846
1,20,26,0.000175316
1,20,27,0.001458747
1,20,28,0.000299904
1,20,29,0.00179151
1,20,30,0.00032725
1,20,31,0.000835527
1,20,32,2.49E-05
1,20,33,0.000217144
1,20,34,0.000427107
1,20,35,9.40E-05
1,20,36,0
1,20,37,0
1,20,38,0.000249095
1,20,39,0.000931124
1,20,40,0.00021143
1,20,41,0
1,20,42,0.000880866
1,20,43,0.000275783
1,20,44,0
1,20,45,0
1,20,46,0
1,20,47,0.000221968
1,20,48,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,21,11,0
1,21,12,0
1,21,13,0
1,21,14,0
1,21,15,0
1,21,16,0
1,21,17,0
1,21,18,0
1,21,19,0
1,21,20,0
1,21,21,0
1,21,22,0
1,21,23,0
1,21,24,5.21E-05
1,21,25,0.000628069
1,21,26,0.000292847
1,21,27,0.000168838
1,21,28,0
1,21,29,0.000848004
1,21,30,0.001281854
1,21,31,0.000681253
1,21,32,0
1,21,33,0.000233934
1,21,34,0
1,21,35,0
1,21,36,0
1,21,37,0.000377949
1,21,38,0.000396649
1,21,39,0.000618442
1,21,40,0.000635881
1,21,41,0
1,21,42,0.000102081
