99999999
    .388    .470   2.127   1.006 P=nwr-hbsh  A=1 INC=1 HHS=1-4
    .290    .756   1.179    .727 P=nwr-hbsh  A=2 INC=1 HHS=1-4
    .258    .584   1.114   1.781 P=nwr-hbsh  A=3 INC=1 HHS=1-4
   1.038   1.152    .947    .000 P=nwr-hbsh  A=1 INC=2 HHS=1-4
    .268   1.275    .731    .563 P=nwr-hbsh  A=2 INC=2 HHS=1-4
    .393    .621    .898   1.592 P=nwr-hbsh  A=3 INC=2 HHS=1-4
    .433    .873   1.488   1.722 P=nwr-hbsh  A=1 INC=3 HHS=1-4
    .360    .625   1.356   1.867 P=nwr-hbsh  A=2 INC=3 HHS=1-4
    .389    .766    .902   1.301 P=nwr-hbsh  A=3 INC=3 HHS=1-4
    .401    .000    .998    .558 P=nwr-hbsh  A=1 INC=4 HHS=1-4
    .519   1.222   1.231   2.500 P=nwr-hbsh  A=2 INC=4 HHS=1-4
    .128    .840    .920   1.976 P=nwr-hbsh  A=3 INC=4 HHS=1-4
99999999
    .769    .752   2.508   3.232 P=nwr-hboth A=1 INC=1 HHS=1-4
    .969   1.961   2.275   2.836 P=nwr-hboth A=2 INC=1 HHS=1-4
    .258   1.924   3.351   5.909 P=nwr-hboth A=3 INC=1 HHS=1-4
   1.189   1.329   3.820    .000 P=nwr-hboth A=1 INC=2 HHS=1-4
   1.071   2.002   2.659   5.727 P=nwr-hboth A=2 INC=2 HHS=1-4
    .646   1.917   3.131   4.890 P=nwr-hboth A=3 INC=2 HHS=1-4
   1.090    .376   2.311   1.861 P=nwr-hboth A=1 INC=3 HHS=1-4
    .837   1.809   2.675   5.821 P=nwr-hboth A=2 INC=3 HHS=1-4
    .723   1.567   2.913   3.578 P=nwr-hboth A=3 INC=3 HHS=1-4
    .952   2.234    .606   4.364 P=nwr-hboth A=1 INC=4 HHS=1-4
    .839   1.932   3.675   1.615 P=nwr-hboth A=2 INC=4 HHS=1-4
   1.076   1.900   3.223   4.942 P=nwr-hboth A=3 INC=4 HHS=1-4
99999999
   1.336    .408   2.310   1.006 P=nwr-nhb   A=1 INC=1 HHS=1-4
    .741    .779   1.034   1.553 P=nwr-nhb   A=2 INC=1 HHS=1-4
    .087    .774   2.026   2.184 P=nwr-nhb   A=3 INC=1 HHS=1-4
    .926    .855    .461    .000 P=nwr-nhb   A=1 INC=2 HHS=1-4
    .763   1.546   1.561   3.156 P=nwr-nhb   A=2 INC=2 HHS=1-4
    .794   1.209   2.255   3.024 P=nwr-nhb   A=3 INC=2 HHS=1-4
    .545    .453   1.507   2.387 P=nwr-nhb   A=1 INC=3 HHS=1-4
    .666   1.381   1.667   2.337 P=nwr-nhb   A=2 INC=3 HHS=1-4
    .733   1.006   2.013   2.119 P=nwr-nhb   A=3 INC=3 HHS=1-4
    .319    .637   1.084    .558 P=nwr-nhb   A=1 INC=4 HHS=1-4
    .786   1.039   2.090   1.271 P=nwr-nhb   A=2 INC=4 HHS=1-4
    .182   1.698   1.895   2.332 P=nwr-nhb   A=3 INC=4 HHS=1-4
99999999
