TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,Work_5,Work_6,University,School,Escort,Maintenance,Discretionary,AtWork
103,0.52515,0.66022,0.76795,0.3689,0.42814,0.84426,0,0.61681,0,0,0,0,0
104,0.516,0.39112,0.90495,0.11831,0.65934,0.65099,7.34121,0,0,0,0,0,0
105,0.54242,0.54737,0.31839,0.62133,0.53312,0.22198,5.48874,1.80762,0,0,0,0,0
106,0.56626,0.38075,0.68705,0.66105,0.56162,0.8592,-1.20771,1.91388,0,0,0,0,0
107,0.41116,0.53425,0.57824,0.37832,0.34059,0.69004,0,2.03266,2.12246,0,0,0,0
108,0.42515,-0.21409,0.70247,0.35398,0.24198,0.61205,1.85018,2.12462,0,0,0,0,0
109,0.40643,0.11155,0.59034,0.4102,0.61777,0.32968,6.98676,0.95332,2.51851,0,0,0,0
110,0.42337,0.4963,1.04835,0.08701,0.74138,0.98754,0,1.81881,0,0,0,0,0
111,0,-3.68586,1.16846,0.92208,0.24081,1.33012,0,0,2.01105,0,0,0,0
112,0.34444,0.44528,0.57785,0.31976,0.02774,0.46928,1.68503,1.8145,0,0,0,0,0
113,0.34875,0.32129,0.37955,0.39691,0.34928,0.45967,7.4737,2.06391,0,0,0,0,0
114,0.29036,0.28486,0.55124,0.58991,0.71083,0.6257,7.59439,2.39785,0,0,0,0,0
115,0.56843,0.51253,0.63862,0.39827,0.45735,0.72079,0,2.32557,0,0,0,0,0
116,-8.04576E-3,0.4646,0.88343,0.45501,0.33769,0.75077,0.69293,1.97267,0,0,0,0,0
117,0.35743,0.38743,0.4763,0.44482,0.35656,0.53591,7.40726,1.65628,0,0,0,0,0
118,0.37794,0.42764,0.29993,0.16123,0.27941,0.32722,7.58261,1.99375,0,0,0,0,0
119,0.1817,0.30042,0.1171,0.2428,0.45729,0.25378,5.60046,1.65004,0,0,0,0,0
120,0.19498,0.28116,0.44197,0.384,0.59257,0.34667,7.82563,2.02805,0,0,0,0,0
121,0.25276,0.34106,0.37613,0.29553,0.29953,0.36501,4.19718,1.80506,0,0,0,0,0
122,0.14563,0.30614,0.21933,0.15937,0.39876,0.40284,7.24459,1.72932,0,0,0,0,0
123,0.2542,0.49954,0.31936,0.47604,0.52681,0.42365,7.2005,2.00178,0,0,0,0,0
124,0.56906,0.60556,0.33822,0.48302,0.73556,0.6801,7.03452,2.59355,0,0,0,0,0
125,0.23767,0.33762,0.49397,0.50384,0.47591,0.47034,6.17733,1.67486,0,0,0,0,0
126,0.44202,0.51712,0.3478,0.21069,0.39908,0.61693,-2.11357,1.42742,0,0,0,0,0
127,0.44304,0.5221,0.36813,0.47164,-0.27943,0.42841,1.64847,1.9887,0,0,0,0,0
128,-0.03121,0.73748,0.38906,0.30592,0.62214,0.37527,0,1.46492,0,0,0,0,0
129,0.37916,0.29309,0.49868,0.14692,0.20402,0.42839,7.27902,1.98824,0,0,0,0,0
130,0.04064,0.13576,0.15334,0.30399,0.22061,0.17341,5.65641,1.53931,0,0,0,0,0
131,0.21381,0.29142,0.34435,0.17428,0.21942,0.18833,1.62807,1.97996,0,0,0,0,0
132,0.13203,0.34576,0.15989,0.20057,0.48295,0.15596,6.04461,1.94368,0,0,0,0,0
133,0.11892,0.09992,-0.04274,0.13783,0.38781,0.28445,5.43293,1.88685,0,0,0,0,0
134,0.30964,1.19354,0.30457,0.5813,0.39079,0.40501,-0.25576,1.6373,0,0,0,0,0
135,0.36357,0.24707,0.28059,0.34058,0.41619,0.37255,7.19831,1.89799,0,0,0,0,0
136,0.09364,0.09191,-0.13162,0.13733,0.19411,0.16523,7.23853,1.85084,0,0,0,0,0
137,0.47185,-0.17005,0.41366,0.31804,-4.9367E-3,0.40972,7.65029,2.62927,0,0,0,0,0
138,0.49827,0.63627,0.5697,0.38812,0.39449,0.71239,0,0,0,0,0,0,0
139,0.07388,0.36005,0.30757,0.20418,0.58969,0.0859,6.34244,1.56957,1.48498,0,0,0,0
140,0.11737,-0.04483,0.66749,0.31607,-0.22822,0.11198,7.46068,2.62981,0,0,0,0,0
141,0.04686,0.38046,0.43787,0.21276,-0.25215,0.63023,0,2.03172,0,0,0,0,0
142,0.14834,0.31026,0.41267,0.18349,0.47482,0.42191,0.38001,1.72439,0,0,0,0,0
143,0.16863,0.31665,0.24421,0.23133,0.47364,0.39151,2.46463,2.32619,1.79241,0,0,0,0
144,0.08575,0.96938,0.0842,0.35706,0.26168,-0.43384,0,1.8547,0,0,0,0,0
145,0.21385,0.38131,0.36004,0.34369,0.75431,0.76003,7.38569,2.09771,1.06454,0,0,0,0
146,0.19909,0.49267,0.34356,0.4956,0.84312,0.32247,8.70524,2.00323,0,0,0,0,0
