Table    10.03
 
***** PEAK TRIPS, MILES AND HOURS BY ROUTE ************
Comparison of Weekday Operating Statistics by Scenario
PEAK=any trip serving one or more stops between 5:00 am and 9:15 am
 
                                                        Y2017 EXISTING                   Y2017 NO-BUILD                   Y2017 BUILD                     
                                                        ================================ ================================ ================================
Route_ID                 --Route Name                   #Trips     Miles        Hours    #Trips     Miles        Hours    #Trips     Miles        Hours   
6                        --6-Pauoa-Woodlawn                 28       191.36        22.25     28       191.36        22.25     28       191.36        22.25
60                       --93-Waianae Coast Express-CBD     11       406.88        21.70     11       406.88        21.70     11       406.88        21.70
62                       --96-Waipio Gentry Express          2        29.11         1.47      2        29.11         1.47      2        29.11         1.47
63                       --97-Village Park Express           4        65.93         3.98      4        65.93         3.98      4        65.93         3.98
64                       --98-Wahiawa-Mililani Park & R      3        61.21         2.88      3        61.21         2.88      3        61.21         2.88
65                       --101-Ewa Gentry Express            5        88.58         5.67      5        88.58         5.67      5        88.58         5.67
66                       --102-Villages of Kapolei Expr      3        57.87         3.00      3        57.87         3.00      3        57.87         3.00
67                       --103-Paiwa-Waikele Express         2        27.69         1.72      2        27.69         1.72      2        27.69         1.72
69                       --80A-Hawaii Kai Park & Ride E      3        59.22         3.52      3        59.22         3.52      3        59.22         3.52
7                        --7-Kalihi Valley                  28       131.62        13.67     28       131.62        13.67     28       131.62        13.67
71                       --84A-Mililani Express-South        4        85.42         4.48      4        85.42         4.48      4        85.42         4.48
72                       --85A-Windward Express-Haiku        6        48.40         3.43      6        48.40         3.43      6        48.40         3.43
74                       --88A-North Shore Express           3       105.24         4.40      3       105.24         4.40      3       105.24         4.40
76                       --98A-Wahiawa-Mililani Transit      2        46.14         2.40      2        46.14         2.40      2        46.14         2.40
77                       --W1-Waipahu via Farrington Ex      6       137.09         8.93      6       137.09         8.93      6       137.09         8.93
78                       --W2-Waipahu via Paiwa Express      4        68.49         3.92      4        68.49         3.92      4        68.49         3.92
79                       --W3-Kalihi via School Street       2        15.15         1.45      2        15.15         1.45      2        15.15         1.45
8                        --8-Waikiki-Ala Moana              15        45.19         6.45     15        45.19         6.45     15        45.19         6.45
80                       --80B-Upper Aina Haina Express      1        10.90         0.78      1        10.90         0.78      1        10.90         0.78
81                       --401-Waianae Valley                8        32.27         2.05      8        32.27         2.05      8        32.27         2.05
82                       --402-Lualualei Homestead           9        28.30         1.47      9        28.30         1.47      9        28.30         1.47
83                       --403-Nanakuli-Maili-Waianae        9        66.76         3.55      9        66.76         3.55      9        66.76         3.55
84                       --411-Makakilo Heights             18        65.31         5.40     18        65.31         5.40     18        65.31         5.40
86                       --413-Campbell Industrial Park     12        45.87         2.30     12        45.87         2.30     12        45.87         2.30
87                       --415-Kapolei Transit Center-K      6        14.25         1.00      6        14.25         1.00      6        14.25         1.00
88                       --432-East-West Waipahu            26        61.74         7.52     26        61.74         7.52     26        61.74         7.52
89                       --433-Waipahu-Waikele Shopping     18        95.35         7.50     18        95.35         7.50     18        95.35         7.50
90                       --434-Waipahu-Village Park         12        37.95         3.27     12        37.95         3.27     12        37.95         3.27
                                                  Total   1317     16112.94      1189.20   1317     16112.94      1189.20   1317     16112.94      1189.20

