"X1","X2","X3","X4","X5"
"Table    10.05",,,,
"***** AVG WEEKDAY ROUTE UTILIZATION BY ROUTE ACCESS TYP","********","***",,
"Comparison of Route Boardings by Scenario by Route-Spec","fic Mode","of-Access",,
"Total Transit Trips",,,,
,,"Y2017 EXISTING","Y2017 NO-BUILD","Y2017 BUILD"
,,"=================================================","=================================================","================================================="
"Route_ID                 --Route Name","Count","WLK       KNR       PNR       XFR       ALL","WLK       KNR       PNR       XFR       ALL","WLK       KNR       PNR       XFR       ALL"
"8                        --8-Waikiki-Ala Moana","3507","1198        18         0        83      1299","1198        18         0        83      1299","1198        18         0        83      1299"
"80                       --80B-Upper Aina Haina Express","14","3         0         0         0         3","3         0         0         0         3","3         0         0         0         3"
"81                       --401-Waianae Valley","387","552         7         0        82       641","552         7         0        82       641","552         7         0        82       641"
"82                       --402-Lualualei Homestead","305","336         1         0        72       408","336         1         0        72       408","336         1         0        72       408"
"83                       --403-Nanakuli-Maili-Waianae","551","624         7         0        72       702","624         7         0        72       702","624         7         0        72       702"
"84                       --411-Makakilo Heights","836","802         0         0        35       837","802         0         0        35       837","802         0         0        35       837"
"86                       --413-Campbell Industrial Park","129","0         0         0       132       132","0         0         0       132       132","0         0         0       132       132"
"87                       --415-Kapolei Transit Center-K","55","47         0         0         0        48","47         0         0         0        48","47         0         0         0        48"
"88                       --432-East-West Waipahu","1509","278         5         0        23       306","278         5         0        23       306","278         5         0        23       306"
"89                       --433-Waipahu-Waikele Shopping","1418","1192        10         0       311      1513","1192        10         0       311      1513","1192        10         0       311      1513"
"90                       --434-Waipahu-Village Park","1266","719         3         0        81       804","719         3         0        81       804","719         3         0        81       804"
"Total","195633","156690      4904         0     34153    195747","156690      4904         0     34153    195747","156690      4904         0     34153    195747"
